117 faults | 57 avg.
95 faults | 57 avg.
90 faults | 55 avg.
90 faults | 55 avg.
85 faults | 55 avg.
85 faults | 55 avg.
85 faults | 55 avg.
85 faults | 55 avg.
85 faults | 55 avg.
85 faults | 55 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 53 avg.
85 faults | 52 avg.
85 faults | 52 avg.
85 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
82 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 52 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
81 faults | 51 avg.
80 faults | 51 avg.
80 faults | 51 avg.
80 faults | 51 avg.
80 faults | 51 avg.
78 faults | 51 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
78 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
76 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
75 faults | 50 avg.
73 faults | 50 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 49 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
73 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
70 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
69 faults | 48 avg.
